index,occurred_year,geo_division,count
1,2014,D11,2
2,2014,D12,20
3,2014,D13,2
4,2014,D14,7
5,2014,D22,8
6,2014,D23,18
7,2014,D31,31
8,2014,D32,13
9,2014,D33,5
10,2014,D41,15
11,2014,D42,10
12,2014,D43,7
13,2014,D51,16
14,2014,D52,2
15,2014,D53,2
16,2014,D54/D55,19
17,2015,D11,7
18,2015,D12,36
19,2015,D13,4
20,2015,D14,15
21,2015,D22,17
22,2015,D23,36
23,2015,D31,50
24,2015,D32,11
25,2015,D33,11
26,2015,D41,24
27,2015,D42,21
28,2015,D43,16
29,2015,D51,14
30,2015,D52,9
31,2015,D53,3
32,2015,D54/D55,14
33,2016,D11,16
34,2016,D12,36
35,2016,D13,17
36,2016,D14,23
37,2016,D22,15
38,2016,D23,54
39,2016,D31,65
40,2016,D32,27
41,2016,D33,11
42,2016,D41,21
43,2016,D42,29
44,2016,D43,22
45,2016,D51,20
46,2016,D52,5
47,2016,D53,9
48,2016,D54/D55,37
49,2017,D11,18
50,2017,D12,25
51,2017,D13,14
52,2017,D14,23
53,2017,D22,15
54,2017,D23,44
55,2017,D31,68
56,2017,D32,11
57,2017,D33,11
58,2017,D41,27
59,2017,D42,35
60,2017,D43,30
61,2017,D51,24
62,2017,D52,10
63,2017,D53,6
64,2017,D54/D55,31
65,2018,D11,12
66,2018,D12,36
67,2018,D13,16
68,2018,D14,27
69,2018,D22,14
70,2018,D23,49
71,2018,D31,67
72,2018,D32,23
73,2018,D33,12
74,2018,D41,30
75,2018,D42,32
76,2018,D43,30
77,2018,D51,30
78,2018,D52,14
79,2018,D53,9
80,2018,D54/D55,26
81,2019,D11,15
82,2019,D12,47
83,2019,D13,27
84,2019,D14,16
85,2019,D22,23
86,2019,D23,61
87,2019,D31,64
88,2019,D32,37
89,2019,D33,22
90,2019,D41,23
91,2019,D42,35
92,2019,D43,40
93,2019,D51,19
94,2019,D52,9
95,2019,D53,13
96,2019,D54/D55,41
