date,streetcar_line,time,day,location,incident,min_delay,min_gap,bound,vehicle,am_rush,pm_rush
2023-01-01T00:00:00Z,509,02:37:00,Sunday,QUEENS QUAY AND SPADIN,Operations,0,0,E,4403,0,0
2023-01-01T00:00:00Z,505,02:40:00,Sunday,BROADVIEW AND GERRARD,Held By,15,25,W,4460,0,0
2023-01-01T00:00:00Z,504,02:52:00,Sunday,KING AND BATHURST,Cleaning - Unsanitary,10,20,W,4427,0,0
2023-01-01T00:00:00Z,504,02:59:00,Sunday,KING AND BATHURST,Held By,25,35,E,4560,0,0
2023-01-01T00:00:00Z,509,03:33:00,Sunday,QUEENS QUAY AND SPADIN,Operations,0,0,E,4570,0,0
2023-01-01T00:00:00Z,505,03:53:00,Sunday,LANSDOWNE AND DUNDAS,Emergency Services,0,0,N,4460,0,0
2023-01-01T00:00:00Z,510,05:38:00,Sunday,SPADINA AND DUNDAS,Security,15,30,S,4449,0,0
2023-01-01T00:00:00Z,501,08:52:00,Sunday,LAKE SHORE AND THIRTY,Cleaning - Unsanitary,10,20,W,8015,0,0
2023-01-01T00:00:00Z,510,08:53:00,Sunday,SPADINA AND FRONT,Operations,14,28,N,4566,0,0
2023-01-01T00:00:00Z,506,09:00:00,Sunday,COXWELL AND LOWER GERR,Operations,10,20,N,4441,0,0
2023-01-01T00:00:00Z,506,09:37:00,Sunday,DUNDAS AND UNIVERSITY,Operations,10,20,E,4459,0,0
2023-01-01T00:00:00Z,506,09:58:00,Sunday,PARLIAMENT AND ST DAVI,Emergency Services,10,19,S,4519,0,0
2023-01-01T00:00:00Z,506,10:10:00,Sunday,WINCHESTER AND PARLIAM,Operations,10,20,E,8745,0,0
2023-01-01T00:00:00Z,512,10:12:00,Sunday,ST CLAIR STATION,Operations,7,13,W,4406,0,0
2023-01-01T00:00:00Z,506,11:22:00,Sunday,CARLTON AND PARLIAMENT,Operations,10,20,W,8835,0,0
2023-01-01T00:00:00Z,506,12:09:00,Sunday,HARBORD AND OSSINGTON,Operations,10,20,E,8747,0,0
2023-01-01T00:00:00Z,504,14:14:00,Sunday,DUNDAS AND EDNA,Investigation,8,16,E,1394,0,0
2023-01-01T00:00:00Z,501,14:21:00,Sunday,QUEEN AND PETER,Emergency Services,8,15,W,4582,0,0
2023-01-01T00:00:00Z,505,14:44:00,Sunday,DUNDAS WEST STATION,Cleaning - Unsanitary,7,14,W,4525,0,0
2023-01-01T00:00:00Z,509,15:18:00,Sunday,QUEENS QUAY AND LOWER,Security,7,14,E,4569,0,0
2023-01-01T00:00:00Z,510,15:19:00,Sunday,HARBOUR FRONT TUNNEL,Emergency Services,0,0,W,4534,0,0
2023-01-01T00:00:00Z,506,15:38:00,Sunday,DUNDAS AND BAY,Mechanical,9,18,E,4522,0,0
2023-01-01T00:00:00Z,512,15:40:00,Sunday,OAKWOOD LOOP,Investigation,6,12,E,4557,0,0
2023-01-01T00:00:00Z,505,16:18:00,Sunday,DUNDAS AND BROCK,General Delay,7,14,W,4587,0,0
2023-01-01T00:00:00Z,501,16:29:00,Sunday,QUEEN AND DUFFERIN,Mechanical,7,14,E,8205,0,0
2023-01-01T00:00:00Z,510,16:32:00,Sunday,LOWER SPADINA AND QUEE,Cleaning - Unsanitary,4,6,N,4536,0,0
2023-01-01T00:00:00Z,505,18:24:00,Sunday,MCCAUL AND DUNDAS,Security,7,14,S,4457,0,0
2023-01-01T00:00:00Z,504,18:44:00,Sunday,QUEEN AND BROADVIEW,Emergency Services,0,0,E,4403,0,0
2023-01-01T00:00:00Z,501,18:51:00,Sunday,QUEEN AND BROADVIEW,Held By,14,21,E,4489,0,0
2023-01-01T00:00:00Z,504,20:00:00,Sunday,KING AND BATHURST,Mechanical,10,20,E,8167,0,0
2023-01-01T00:00:00Z,505,20:14:00,Sunday,DUNDAS AND YONGE,Diversion,19,26,W,4428,0,0
2023-01-01T00:00:00Z,501,21:20:00,Sunday,MCCAUL LOOP,Cleaning - Unsanitary,9,18,E,4528,0,0
2023-01-01T00:00:00Z,509,23:22:00,Sunday,QUEENS QUAY AND REES,General Delay,10,20,E,4573,0,0
2023-01-01T00:00:00Z,505,23:42:00,Sunday,DUNDAS WEST STATION,Operations,8,18,E,4437,0,0
2023-01-02T00:00:00Z,504,05:17:00,Monday,QUEEN AND PARLIAMENT,Operations,18,31,E,4499,0,0
2023-01-02T00:00:00Z,310,05:34:00,Monday,KINGSTON RD LOOP,Emergency Services,0,0,E,4466,0,0
2023-01-02T00:00:00Z,501,06:28:00,Monday,QUEEN AND RONCESVALLES,General Delay,10,20,W,8168,1,0
2023-01-02T00:00:00Z,506,09:33:00,Monday,OSSINGTON STATION,General Delay,10,25,E,8661,1,0
2023-01-02T00:00:00Z,37,10:02:00,Monday,REXDALE AND ISLINGTON,Cleaning - Unsanitary,11,22,W,8077,0,0
2023-01-02T00:00:00Z,501,12:48:00,Monday,KIPLING AND LAKESHORE,Mechanical,7,14,E,8167,0,0
2023-01-02T00:00:00Z,512,15:36:00,Monday,ST CLAIR AND AVENUE,Emergency Services,18,23,E,4561,0,0
2023-01-02T00:00:00Z,505,15:52:00,Monday,DUNDAS AND JARVIS,General Delay,10,17,W,4460,0,0
2023-01-02T00:00:00Z,501,16:34:00,Monday,DUFFERIN GATE,Cleaning - Unsanitary,7,14,W,4512,0,1
2023-01-02T00:00:00Z,505,18:50:00,Monday,QUEEN AND FULLER,Collision - TTC Involved,0,0,W,4544,0,1
2023-01-02T00:00:00Z,504,19:07:00,Monday,KING AND ATLANTIC,Security,0,0,E,1373,0,1
2023-01-02T00:00:00Z,501,19:18:00,Monday,QUEEN AND DOWLING,Diversion,24,34,W,1369,0,1
2023-01-02T00:00:00Z,512,20:04:00,Monday,ST CLAIR STATION,Cleaning - Unsanitary,8,16,E,4508,0,0
2023-01-02T00:00:00Z,506,20:55:00,Monday,CHURCH AND CARLTON,Held By,37,47,N,0,0,0
2023-01-02T00:00:00Z,504,21:23:00,Monday,RICHMOND AND CHURCH,Held By,10,20,W,4523,0,0
2023-01-02T00:00:00Z,505,22:44:00,Monday,DUNDAS AND PATRICK,General Delay,10,20,W,4413,0,0
2023-01-02T00:00:00Z,509,23:33:00,Monday,QUEENS QUAY AND HARBOU,General Delay,10,20,W,4447,0,0
2023-01-02T00:00:00Z,509,23:49:00,Monday,SPADINA AND QUEENS QUA,Operations,80,90,W,4461,0,0
2023-01-02T00:00:00Z,501,00:46:00,Monday,QUEEN AND DOVERCOURT,Diversion,33,43,W,0,0,0
2023-01-02T00:00:00Z,510,01:21:00,Monday,SPADINA AND QUEENS QUA,Emergency Services,5,15,S,4577,0,0
2023-01-02T00:00:00Z,501,01:24:00,Monday,MANITOBA DRIVE,Utilized Off Route,10,20,W,4527,0,0
2023-01-02T00:00:00Z,504,01:32:00,Monday,KIING AND BATHURST,Operations,8,0,E,4563,0,0
2023-01-03T00:00:00Z,505,06:38:00,Tuesday,BROADVIEW STATION,Cleaning - Unsanitary,9,18,N,4487,1,0
2023-01-03T00:00:00Z,501,07:49:00,Tuesday,QUEEN AND DUFFERIN,Operations,12,24,E,7926,1,0
2023-01-03T00:00:00Z,506,08:04:00,Tuesday,OSSINGTON STATION,Security,6,12,S,8725,1,0
2023-01-03T00:00:00Z,501,08:32:00,Tuesday,405 DUFFERIN ST,General Delay,6,12,E,8060,1,0
2023-01-03T00:00:00Z,504,08:39:00,Tuesday,ADELAIDE AND CHURCH,Security,8,16,E,4525,1,0
2023-01-03T00:00:00Z,504,12:18:00,Tuesday,DUNDAS WEST STATION,Security,7,14,W,8354,0,0
2023-01-03T00:00:00Z,509,12:35:00,Tuesday,QUEENS QUAY AND LOWER,Operations,11,20,S,4514,0,0
